timestamp,symbol,direction,score,grade,regime,hour_wib,day_of_week,entry_price,sl_price,tp_price,sl_dist_pct,tp_dist_pct,rr_ratio,penalties_count,bonuses_count,outcome,candles_to_outcome,max_favorable_excursion,max_adverse_excursion,rsi_value,volume_ratio,atr_percent,mss_structure,choch_detected,momentum,momentum_strength,price_zone,fvg_present,ob_present,sweep_detected,pdh_swept,pdl_swept,breakout_detected,cvd_signal,ob_signal,fng_value,funding_sentiment,primary_pattern,pattern_strength,vwap_position,bb_position,stoch_signal,macd_cross,oi_signal,oi_change_pct,consolidating,consolidation_quality,spike_detected,spike_direction,ha_direction,ha_strength,ha_consistent,hypothesis_signal,hypothesis_bull_score,hypothesis_bear_score,model_b_confidence,model_b_action,model_c_action,session,btc_trend,btc_price_change_pct,rs_vs_btc
2026-04-20T04:45:15.236476+00:00,DOTUSDT,BEARISH,71,VALID,TRENDING,11,0,1.261,1.268,1.2398,0.5551,1.6812,3.03,0,1,LOSS,6,0.013,0.005,61.92,0.0,0.3727,RANGING,False,NEUTRAL,0,PREMIUM,True,True,False,False,False,False,NEUTRAL,BALANCED,29,NEUTRAL,BEARISH_MARUBOZU,STRONG,FAR_BELOW,upper_half,NEUTRAL,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-20T04:45:18.120497+00:00,ATOMUSDT,BEARISH,76,VALID,TRENDING,11,0,1.776,1.7841,1.7517,0.4561,1.3682,3.0,0,1,LOSS,0,0.0,0.0,51.33,0.0,0.3041,UNDEFINED,False,BEARISH,2,PREMIUM,True,True,False,False,False,False,BEARISH_CONFIRMED,BID_DOMINANT,29,NEUTRAL,BEARISH_MARUBOZU,STRONG,FAR_BELOW,upper_half,NEUTRAL,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-20T16:15:16.801961+00:00,UNIUSDT,BEARISH,67,WEAK,TRENDING,23,0,3.235,3.2695,3.1315,1.0665,3.1994,3.0,0,1,LOSS,6,0.017,0.03,43.46,0.0,0.711,UNDEFINED,False,BEARISH,2,EQUILIBRIUM,True,True,False,False,True,False,BEARISH_CONFIRMED,ASK_DOMINANT,29,NEUTRAL,BEARISH_MARUBOZU,STRONG,FAR_BELOW,lower_half,NEUTRAL,BEARISH,,,,,,,,,,,,,,,,,,,
2026-04-20T19:30:16.309224+00:00,UNIUSDT,BEARISH,59,WEAK,TRENDING,2,1,3.255,3.2788,3.1834,0.7312,2.1997,3.01,0,1,LOSS,3,0.006,0.023,47.76,0.0,0.4885,UNDEFINED,False,BEARISH,2,PREMIUM,True,True,False,False,True,False,BEARISH_CONFIRMED,ASK_DOMINANT,29,NEUTRAL,BEARISH_PIN_BAR,MEDIUM,FAR_BELOW,upper_half,NEUTRAL,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-20T19:45:16.858113+00:00,UNIUSDT,BEARISH,55,WEAK,TRENDING,2,1,3.255,3.2769,3.1893,0.6728,2.0184,3.0,0,1,LOSS,1,0.006,0.006,47.76,0.0,0.4485,UNDEFINED,False,BEARISH,2,PREMIUM,True,True,False,False,True,False,BEARISH_CONFIRMED,BALANCED,29,NEUTRAL,,WEAK,FAR_BELOW,upper_half,NEUTRAL,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-21T16:30:19.034661+00:00,ATOMUSDT,BEARISH,58,WEAK,TRENDING,23,1,1.819,1.8574,1.7038,2.1111,6.3332,3.0,0,1,LOSS,30,0.024,0.034,56.5,0.0,0.7037,RANGING,False,BEARISH,2,PREMIUM,True,True,False,False,False,False,BEARISH_CONFIRMED,BID_DOMINANT,33,NEUTRAL,BEARISH_PIN_BAR,MEDIUM,FAR_ABOVE,upper_half,NEUTRAL,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-21T17:15:20.297410+00:00,ATOMUSDT,BEARISH,61,WEAK,TRENDING,0,2,1.815,1.8468,1.7196,1.7521,5.2562,3.0,0,1,LOSS,26,0.016,0.03,50.65,0.0,0.584,RANGING,False,BEARISH,2,PREMIUM,True,True,False,True,False,False,BEARISH_CONFIRMED,BID_DOMINANT,33,NEUTRAL,,WEAK,FAR_ABOVE,upper_half,NEUTRAL,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-22T04:15:16.550160+00:00,AVAXUSDT,BEARISH,61,WEAK,TRENDING,11,2,9.547,9.6736,9.1672,1.3261,3.9782,3.0,0,1,NEUTRAL,96,0.34,0.126,63.05,0.0,0.442,BULLISH,False,BEARISH,2,PREMIUM,True,True,False,False,False,False,BEARISH_CONFIRMED,BALANCED,32,NEUTRAL,BEARISH_MARUBOZU,STRONG,FAR_ABOVE,upper_half,NEUTRAL,BULLISH,,,,,,,,,,,,,,,,,,,
2026-04-19T08:15:18.487027+00:00,AVAXUSDT,BULLISH,56,WEAK,TRENDING,15,6,9.195,9.1365,9.3705,0.6362,1.9086,3.0,0,1,LOSS,37,0.159,0.051,41.14,0.0,0.4241,RANGING,False,BULLISH,2,DISCOUNT,True,True,False,False,False,False,BEARISH_DIVERGENCE,BALANCED,27,NEUTRAL,BULLISH_MARUBOZU,STRONG,FAR_BELOW,lower_half,NEUTRAL,BEARISH,NEUTRAL,0.4188,False,0.0,0.0,,,,,,,,,,,LONDON,NEUTRAL,0.1171,0.09
2026-04-19T08:15:19.684758+00:00,DOTUSDT,BULLISH,51,NO_TRADE,TRENDING,15,6,1.256,1.2464,1.2848,0.7643,2.293,3.0,0,0,WIN,19,0.024,0.004,41.89,0.0,0.5096,BULLISH,True,BULLISH,2,DISCOUNT,True,False,False,False,False,False,BEARISH_DIVERGENCE,BID_DOMINANT,27,NEUTRAL,BULLISH_MARUBOZU,STRONG,FAR_BELOW,lower_half,NEUTRAL,BEARISH,SHORT_COVERING,-2.234,False,0.0,0.0,,,,,,,,,,,LONDON,NEUTRAL,0.1171,-0.0374
2026-04-19T09:30:20.738234+00:00,AVAXUSDT,BULLISH,55,WEAK,TRENDING,16,6,9.182,9.1352,9.3224,0.5097,1.5291,3.0,0,1,WIN,14,0.112,0.038,40.22,0.0,0.3398,BEARISH,False,NEUTRAL,0,DISCOUNT,True,True,False,False,False,False,BULLISH_DIVERGENCE,BALANCED,27,NEUTRAL,BULLISH_MARUBOZU,STRONG,FAR_BELOW,lower_half,NEUTRAL,BEARISH,BEARISH_CONFIRMED,0.7422,False,0.0,0.0,,,,,,,,,,,LONDON,NEUTRAL,-0.1957,0.0978
2026-04-19T14:15:19.823160+00:00,DOTUSDT,BULLISH,59,WEAK,RANGING,21,6,1.272,1.2618,1.3026,0.8019,2.4057,3.0,0,1,LOSS,4,0.013,0.002,48.52,0.0,0.5346,RANGING,False,BEARISH,2,EQUILIBRIUM,True,True,False,False,True,False,BULLISH_DIVERGENCE,BALANCED,27,NEUTRAL,BEARISH_MARUBOZU,STRONG,FAR_BELOW,upper_half,OVERSOLD,BULLISH,NEUTRAL,-0.2968,False,0.0,0.0,,,,,,,,,,,NEWYORK,BEARISH,-0.3569,-0.3457
2026-04-19T16:45:16.315646+00:00,DOTUSDT,BULLISH,60,WEAK,RANGING,23,6,1.272,1.2616,1.303,0.8176,2.4371,2.98,0,1,LOSS,2,0.0,0.009,48.96,0.0,0.5425,RANGING,False,BEARISH,2,DISCOUNT,True,True,False,False,True,False,BULLISH_DIVERGENCE,BALANCED,27,NEUTRAL,BEARISH_MARUBOZU,STRONG,FAR_BELOW,lower_half,NEUTRAL,BEARISH,BEARISH_CONFIRMED,0.8248,False,0.0,0.0,,,,,,,,28.6,WAIT,WAIT,NEWYORK,NEUTRAL,-0.1322,0.2109
