symbol,side,outcome,exit_reason,p2_grade,entry_price,exit_price,pnl_usd,pnl_pct,size_usd,leverage,stop_loss,take_profit,hold_hours,p2_score,entry_time,exit_time,p1_snapshot
SAHARAUSDT,LONG,LOSS,MAX_HOLD,VALID,0.03722,0.03719,-1.1364253801424338,-0.2418054809242524,469.97502943220246,3.0,0.033498,0.046525,49.78784510055555,71.0,2026-05-09 20:16:41.823508,2026-05-11 22:03:58.065870,
ZEREBROUSDT,LONG,LOSS,MAX_HOLD,VALID,0.046035,0.045241,-16.36057656178106,-3.4495492560008523,474.2815755803493,2.0,0.0414315,0.05754375,58.34245078083333,64.0,2026-05-09 13:59:15.853222,2026-05-12 00:19:48.676033,
GTCUSDT,LONG,WIN,TP_HIT,VALID,0.13334,0.16768,378.717503079252,77.26113694315288,490.1785270878222,3.0,0.12000599999999999,0.166675,3.0174136866666665,74.0,2026-05-11 22:19:07.845221,2026-05-12 01:20:10.534493,"{'symbol': 'GTCUSDT', 'basic_indicators': {'emas': {20: np.float64(0.1203), 50: np.float64(0.1136), 200: None}, 'rsi_value': np.float64(80.1), 'rsi_signal': 'OVERBOUGHT', 'rsi_overbought': np.True_, 'rsi_oversold': np.False_, 'atr_value': np.float64(0.0047), 'atr_percent': np.float64(3.5248), 'volume_current': np.float64(11552569.6), 'volume_average': np.float64(12465629.56), 'volume_ratio': np.float64(0.93), 'volume_is_high': np.False_, 'ma_aligned': True, 'ma_direction': 'BULLISH', 'trend': 'BULLISH', 'module': 'basic_indicators', 'category': 'classic', 'is_implemented': True, 'error': False}, 'bollinger_bands': {'bb_upper': np.float64(0.1296), 'bb_middle': np.float64(0.1208), 'bb_lower': np.float64(0.1119), 'bb_width': np.float64(14.6533), 'bb_percent_b': np.float64(1.21), 'bb_position': 'above_upper', 'bb_squeeze': np.False_, 'bb_expansion': np.False_, 'module': 'bollinger_bands', 'category': 'classic', 'is_implemented': True, 'error': False}, 'macd_indicator': {'macd_line': np.float64(0.004523), 'signal_line': np.float64(0.004067), 'histogram': np.float64(0.000455), 'cross': 'BULLISH', 'zero_cross': 'ABOVE', 'momentum': 'INCREASING', 'module': 'macd_indicator', 'category': 'classic', 'is_implemented': True, 'error': False}, 'vwap_calculator': {'vwap': np.float64(0.1188), 'vwap_upper1': np.float64(0.1216), 'vwap_lower1': np.float64(0.116), 'vwap_upper2': np.float64(0.1244), 'vwap_lower2': np.float64(0.1132), 'vwap_position': 'FAR_ABOVE', 'vwap_diff_pct': np.float64(12.239), 'module': 'vwap_calculator', 'category': 'classic', 'is_implemented': True, 'error': False}, 'volume_profile': {'poc': np.float64(0.1225), 'vah': np.float64(0.1261), 'val': np.float64(0.1144), 'price_zone': 'PREMIUM', 'midpoint': np.float64(0.1158), 'module': 'volume_profile', 'category': 'classic', 'is_implemented': True, 'error': False}, 'stochastic_rsi': {'stoch_k': np.float64(60.29), 'stoch_d': np.float64(39.15), 'stoch_signal': 'NEUTRAL', 'stoch_cross': 'BULLISH', 'stoch_overbought': np.False_, 'stoch_oversold': np.False_, 'module': 'stochastic_rsi', 'category': 'classic', 'is_implemented': True, 'error': False}, 'fvg_detector': {'fvg_count': 3, 'fvg_bullish_count': 3, 'fvg_bearish_count': 0, 'fvg_present': True, 'fvg_nearest_type': 'BULLISH', 'fvg_nearest_top': np.float64(0.1215), 'fvg_nearest_bottom': np.float64(0.1188), 'fvg_nearest_quality': 'HIGH', 'fvg_list': [{'type': 'BULLISH', 'top': np.float64(0.1215), 'bottom': np.float64(0.1188), 'gap_pct': np.float64(2.255), 'quality': 'HIGH', 'filled': False}, {'type': 'BULLISH', 'top': np.float64(0.1107), 'bottom': np.float64(0.1061), 'gap_pct': np.float64(4.271), 'quality': 'HIGH', 'filled': False}, {'type': 'BULLISH', 'top': np.float64(0.1054), 'bottom': np.float64(0.1049), 'gap_pct': np.float64(0.476), 'quality': 'MEDIUM', 'filled': False}], 'module': 'fvg_detector', 'category': 'ict', 'is_implemented': True, 'error': False}, 'orderblock_detector': {'ob_count': 8, 'ob_bullish_count': 5, 'ob_bearish_count': 3, 'ob_present': True, 'ob_nearest_type': 'BEARISH', 'ob_nearest_top': np.float64(0.1296), 'ob_nearest_bottom': np.float64(0.1215), 'ob_nearest_fresh': False, 'ob_list': [{'type': 'BULLISH', 'top': np.float64(0.1222), 'bottom': np.float64(0.1181), 'fresh': False, 'strength': np.float64(3.78)}, {'type': 'BEARISH', 'top': np.float64(0.1248), 'bottom': np.float64(0.1206), 'fresh': False, 'strength': np.float64(3.48)}, {'type': 'BEARISH', 'top': np.float64(0.1296), 'bottom': np.float64(0.1215), 'fresh': False, 'strength': np.float64(1.93)}, {'type': 'BULLISH', 'top': np.float64(0.1177), 'bottom': np.float64(0.1131), 'fresh': False, 'strength': np.float64(3.15)}, {'type': 'BEARISH', 'top': np.float64(0.125), 'bottom': np.float64(0.1107), 'fresh': False, 'strength': np.float64(4.16)}], 'module': 'orderblock_detector', 'category': 'ict', 'is_implemented': True, 'error': False}, 'liquidity_sweeps': {'sweep_detected': np.False_, 'sweep_direction': None, 'bull_sweep': np.False_, 'bear_sweep': np.False_, 'bull_sweep_level': None, 'bear_sweep_level': None, 'swing_highs': [np.float64(0.1062), np.float64(0.1074), np.float64(0.125)], 'swing_lows': [np.float64(0.1023), np.float64(0.1023), np.float64(0.1048)], 'idm_level': None, 'module': 'liquidity_sweeps', 'category': 'ict', 'is_implemented': True, 'error': False}, 'premium_discount': {'price_zone': 'PREMIUM', 'range_high': np.float64(0.1335), 'range_low': np.float64(0.1107), 'premium_level': np.float64(0.1248), 'discount_level': np.float64(0.1194), 'midpoint': np.float64(0.1221), 'fib_position': np.float64(0.9943), 'module': 'premium_discount', 'category': 'ict', 'is_implemented': True, 'error': False}, 'daily_levels': {'pdh': np.float64(0.1028), 'pdl': np.float64(0.0982), 'above_pdh': np.True_, 'below_pdl': np.False_, 'in_range': False, 'dist_to_pdh_pct': np.float64(29.7082), 'dist_to_pdl_pct': np.float64(35.7841), 'approaching_pdh': False, 'approaching_pdl': np.False_, 'pdh_swept': np.False_, 'pdl_swept': np.False_, 'pdh_rejected': False, 'pdl_rejected': False, 'level_context': 'ABOVE_PDH', 'module': 'daily_levels', 'category': 'ict', 'is_implemented': True, 'error': False}, 'consolidation_detector': {'consolidating': np.False_, 'range_high': np.float64(0.1335), 'range_low': np.float64(0.1023), 'range_size': np.float64(0.0312), 'atr': np.float64(0.0047), 'quality': 0, 'duration_candles': 16, 'module': 'consolidation_detector', 'category': 'ict', 'is_implemented': True, 'error': False}, 'breakout_detector': {'breakout_detected': False, 'breakout_direction': None, 'volume_confirmed': np.False_, 'volume_ratio': np.float64(0.93), 'range_high_20': np.float64(0.1335), 'range_low_20': np.float64(0.1107), 'module': 'breakout_detector', 'category': 'ict', 'is_implemented': True, 'error': False}, 'htf_structure': {'module': 'htf_structure', 'category': 'ict', 'is_implemented': False, 'skipped': True, 'reason': 'Module not yet implemented'}, 'funding_rate': {'funding_rate': 0.0, 'funding_avg': 0.0, 'sentiment': 'NEUTRAL', 'is_extreme': False, 'contrarian_bias': 'NEUTRAL', 'module': 'funding_rate', 'category': 'orderflow', 'is_implemented': True, 'error': False}, 'open_interest': {'oi_current': 0, 'oi_change_pct': 0, 'oi_rising': False, 'oi_falling': False, 'oi_signal': 'NEUTRAL', 'oi_bias': 'NEUTRAL', 'price_change_pct': 0, 'module': 'open_interest', 'category': 'orderflow', 'is_implemented': True, 'error': False}, 'mss_detector': {'mss_structure': 'BULLISH', 'bos_detected': True, 'bos_direction': 'BULLISH', 'choch_detected': False, 'choch_direction': None, 'choch_strength': 'NONE', 'last_swing_high': np.float64(0.1296), 'last_swing_low': np.float64(0.1023), 'signal_strength': 2, 'swing_count': 10, 'module': 'mss_detector', 'category': 'ict', 'is_implemented': True, 'error': False}, 'momentum_classifier': {'momentum': 'STRONG_BULLISH', 'momentum_direction': 'BULLISH', 'momentum_strength': 3, 'fast_return_pct': np.float64(11.4603), 'slow_return_pct': np.float64(6.2639), 'bull_candle_pct': 80.0, 'volume_momentum': np.float64(0.96), 'upper_wick_pct': np.float64(1.4), 'lower_wick_pct': np.float64(1.5), 'rejection_signal': None, 'module': 'momentum_classifier', 'category': 'context', 'is_implemented': True, 'error': False}, 'candle_pattern': {'patterns_detected': ['BULLISH_MARUBOZU'], 'primary_pattern': 'BULLISH_MARUBOZU', 'pattern_signal': 'BULLISH', 'pattern_strength': 'STRONG', 'body_pct': np.float64(0.971), 'upper_wick_pct': np.float64(0.014), 'lower_wick_pct': np.float64(0.015), 'is_bullish_candle': np.True_, 'is_bearish_candle': np.False_, 'module': 'candle_pattern', 'category': 'context', 'is_implemented': True, 'error': False}, 'fear_greed_index': {'fng_value': 48, 'fng_classification': 'Neutral', 'fng_sentiment': 'NEUTRAL', 'fng_bias': 'NEUTRAL', 'fng_strength': 0, 'fng_prev_value': 47, 'fng_change': 1, 'fng_trending': 'STABLE', 'module': 'fear_greed_index', 'category': 'context', 'is_implemented': True, 'error': False}, 'cvd_analyzer': {'cvd_value': 0, 'cvd_ratio': 0.5, 'buy_volume': 0, 'sell_volume': 0, 'cvd_signal': 'NEUTRAL', 'cvd_bias': 'NEUTRAL', 'cvd_divergence': False, 'price_change_pct': 0, 'module': 'cvd_analyzer', 'category': 'orderflow', 'is_implemented': True, 'error': False}, 'orderbook_imbalance': {'bid_volume': 0, 'ask_volume': 0, 'bid_ask_ratio': 1.0, 'bid_pct': 50, 'ask_pct': 50, 'ob_signal': 'BALANCED', 'ob_bias': 'NEUTRAL', 'best_bid': 0, 'best_ask': 0, 'spread_pct': 0, 'module': 'orderbook_imbalance', 'category': 'orderflow', 'is_implemented': True, 'error': False}, 'spike_classifier': {'spike_detected': True, 'spike_magnitude': np.float64(2.02), 'spike_direction': 'UP', 'volume_confirmed': np.False_, 'spike_classification': 'NOISE_SPIKE', 'is_rejection': np.False_, 'is_opportunity': False, 'is_noise': True, 'module': 'spike_classifier', 'category': 'context', 'is_implemented': True, 'error': False}, 'heiken_ashi': {'ha_direction': 'BULLISH', 'ha_strength': 'STRONG', 'ha_body_ratio': np.float64(0.562), 'no_lower_shadow': np.True_, 'no_upper_shadow': np.False_, 'consistent': True, 'trend_count': 3, 'ha_open': np.float64(0.122666), 'ha_close': np.float64(0.128738), 'ha_high': np.float64(0.13347), 'ha_low': np.float64(0.122666), 'module': 'heiken_ashi', 'category': 'context', 'is_implemented': True, 'error': False}}"
USUSDT,LONG,LOSS,SL_HIT,VALID,0.006714,0.00604,-97.01805437578557,-20.077450104259757,483.2190037678222,2.0,0.0060426,0.0083925,20.845981243055554,65.0,2026-05-11 04:44:32.247856,2026-05-12 01:35:17.780331,
QUSDT,LONG,LOSS,MAX_HOLD,VALID,0.015696,0.015017,-65.57823465804618,-12.977828746177384,505.3097551265056,3.0,0.0141264,0.01962,48.002951590555554,73.0,2026-05-10 03:20:40.485906,2026-05-12 03:20:51.111632,
LAYERUSDT,LONG,LOSS,SL_HIT,VALID,0.12936,0.11576,-160.30274566556176,-31.539888682745826,508.2539994925752,3.0,0.116424,0.1617,39.45220528861111,75.0,2026-05-10 12:08:47.621698,2026-05-12 03:35:55.560737,
TRUTHUSDT,LONG,WIN,TP_HIT,VALID,0.012445,0.015712,260.325675824878,52.50301325833669,495.8299717846045,2.0,0.0112005,0.0155562499999999,34.671037814444446,61.0,2026-05-10 21:27:08.762241,2026-05-12 08:07:24.498373,
CFGUSDT,LONG,LOSS,MAX_HOLD,VALID,0.2845,0.2778,-34.308171820534504,-7.0650263620386475,485.6057155692583,3.0,0.25605,0.3556249999999999,124.04089070333333,73.0,2026-05-07 04:35:08.039876,2026-05-12 08:37:35.246408,
SAGAUSDT,LONG,WIN,TP_HIT,VALID,0.02418,0.03062,391.6562921148357,79.90074441687347,490.1785270878222,3.0,0.021762,0.030225000000000002,11.566118244722222,71.0,2026-05-12 00:04:43.077618,2026-05-12 11:38:41.103299,"{'symbol': 'SAGAUSDT', 'basic_indicators': {'emas': {20: np.float64(0.0241), 50: np.float64(0.0233), 200: None}, 'rsi_value': np.float64(50.63), 'rsi_signal': 'NEUTRAL', 'rsi_overbought': np.False_, 'rsi_oversold': np.False_, 'atr_value': np.float64(0.0006), 'atr_percent': np.float64(2.4814), 'volume_current': np.float64(16414326.4), 'volume_average': np.float64(116129801.27), 'volume_ratio': np.float64(0.14), 'volume_is_high': np.False_, 'ma_aligned': True, 'ma_direction': 'BULLISH', 'trend': 'NEUTRAL', 'module': 'basic_indicators', 'category': 'classic', 'is_implemented': True, 'error': False}, 'bollinger_bands': {'bb_upper': np.float64(0.0256), 'bb_middle': np.float64(0.0243), 'bb_lower': np.float64(0.023), 'bb_width': np.float64(10.8047), 'bb_percent_b': np.float64(0.4437), 'bb_position': 'lower_half', 'bb_squeeze': np.False_, 'bb_expansion': np.False_, 'module': 'bollinger_bands', 'category': 'classic', 'is_implemented': True, 'error': False}, 'macd_indicator': {'macd_line': np.float64(0.000142), 'signal_line': np.float64(0.000309), 'histogram': np.float64(-0.000167), 'cross': 'BEARISH', 'zero_cross': 'ABOVE', 'momentum': 'DECREASING', 'module': 'macd_indicator', 'category': 'classic', 'is_implemented': True, 'error': False}, 'vwap_calculator': {'vwap': np.float64(0.0235), 'vwap_upper1': np.float64(0.0242), 'vwap_lower1': np.float64(0.0228), 'vwap_upper2': np.float64(0.0249), 'vwap_lower2': np.float64(0.0221), 'vwap_position': 'ABOVE_VWAP', 'vwap_diff_pct': np.float64(2.894), 'module': 'vwap_calculator', 'category': 'classic', 'is_implemented': True, 'error': False}, 'volume_profile': {'poc': np.float64(0.0241), 'vah': np.float64(0.0252), 'val': np.float64(0.022), 'price_zone': 'PREMIUM', 'midpoint': np.float64(0.0226), 'module': 'volume_profile', 'category': 'classic', 'is_implemented': True, 'error': False}, 'stochastic_rsi': {'stoch_k': np.float64(16.57), 'stoch_d': np.float64(9.82), 'stoch_signal': 'OVERSOLD', 'stoch_cross': 'BULLISH', 'stoch_overbought': np.False_, 'stoch_oversold': np.True_, 'module': 'stochastic_rsi', 'category': 'classic', 'is_implemented': True, 'error': False}, 'fvg_detector': {'fvg_count': 5, 'fvg_bullish_count': 3, 'fvg_bearish_count': 2, 'fvg_present': True, 'fvg_nearest_type': 'BULLISH', 'fvg_nearest_top': np.float64(0.0249), 'fvg_nearest_bottom': np.float64(0.024), 'fvg_nearest_quality': 'HIGH', 'fvg_list': [{'type': 'BEARISH', 'top': np.float64(0.0246), 'bottom': np.float64(0.0244), 'gap_pct': np.float64(0.939), 'quality': 'HIGH', 'filled': False}, {'type': 'BEARISH', 'top': np.float64(0.0256), 'bottom': np.float64(0.0249), 'gap_pct': np.float64(2.657), 'quality': 'HIGH', 'filled': False}, {'type': 'BULLISH', 'top': np.float64(0.0249), 'bottom': np.float64(0.024), 'gap_pct': np.float64(3.727), 'quality': 'HIGH', 'filled': False}, {'type': 'BULLISH', 'top': np.float64(0.024), 'bottom': np.float64(0.0238), 'gap_pct': np.float64(0.794), 'quality': 'HIGH', 'filled': False}, {'type': 'BULLISH', 'top': np.float64(0.0234), 'bottom': np.float64(0.0226), 'gap_pct': np.float64(3.172), 'quality': 'HIGH', 'filled': False}], 'module': 'fvg_detector', 'category': 'ict', 'is_implemented': True, 'error': False}, 'orderblock_detector': {'ob_count': 10, 'ob_bullish_count': 4, 'ob_bearish_count': 6, 'ob_present': True, 'ob_nearest_type': 'BEARISH', 'ob_nearest_top': np.float64(0.0247), 'ob_nearest_bottom': np.float64(0.024), 'ob_nearest_fresh': False, 'ob_list': [{'type': 'BEARISH', 'top': np.float64(0.0242), 'bottom': np.float64(0.0236), 'fresh': False, 'strength': np.float64(1.83)}, {'type': 'BEARISH', 'top': np.float64(0.0265), 'bottom': np.float64(0.0256), 'fresh': False, 'strength': np.float64(8.58)}, {'type': 'BEARISH', 'top': np.float64(0.0258), 'bottom': np.float64(0.0249), 'fresh': False, 'strength': np.float64(6.36)}, {'type': 'BEARISH', 'top': np.float64(0.0255), 'bottom': np.float64(0.0239), 'fresh': False, 'strength': np.float64(2.05)}, {'type': 'BULLISH', 'top': np.float64(0.0241), 'bottom': np.float64(0.0236), 'fresh': False, 'strength': np.float64(8.51)}], 'module': 'orderblock_detector', 'category': 'ict', 'is_implemented': True, 'error': False}, 'liquidity_sweeps': {'sweep_detected': np.False_, 'sweep_direction': None, 'bull_sweep': np.False_, 'bear_sweep': np.False_, 'bull_sweep_level': None, 'bear_sweep_level': None, 'swing_highs': [np.float64(0.0242), np.float64(0.025), np.float64(0.0252)], 'swing_lows': [np.float64(0.023), np.float64(0.0239), np.float64(0.0237)], 'idm_level': None, 'module': 'liquidity_sweeps', 'category': 'ict', 'is_implemented': True, 'error': False}, 'premium_discount': {'price_zone': 'DISCOUNT', 'range_high': np.float64(0.0265), 'range_low': np.float64(0.0235), 'premium_level': np.float64(0.0254), 'discount_level': np.float64(0.0246), 'midpoint': np.float64(0.025), 'fib_position': np.float64(0.2292), 'module': 'premium_discount', 'category': 'ict', 'is_implemented': True, 'error': False}, 'daily_levels': {'pdh': np.float64(0.0207), 'pdl': np.float64(0.0188), 'above_pdh': np.True_, 'below_pdl': np.False_, 'in_range': False, 'dist_to_pdh_pct': np.float64(16.8116), 'dist_to_pdl_pct': np.float64(28.617), 'approaching_pdh': False, 'approaching_pdl': np.False_, 'pdh_swept': np.False_, 'pdl_swept': np.False_, 'pdh_rejected': False, 'pdl_rejected': False, 'level_context': 'ABOVE_PDH', 'module': 'daily_levels', 'category': 'ict', 'is_implemented': True, 'error': False}, 'consolidation_detector': {'consolidating': np.False_, 'range_high': np.float64(0.0265), 'range_low': np.float64(0.022), 'range_size': np.float64(0.0045), 'atr': np.float64(0.0006), 'quality': 0, 'duration_candles': 16, 'module': 'consolidation_detector', 'category': 'ict', 'is_implemented': True, 'error': False}, 'breakout_detector': {'breakout_detected': False, 'breakout_direction': None, 'volume_confirmed': np.False_, 'volume_ratio': np.float64(0.14), 'range_high_20': np.float64(0.0265), 'range_low_20': np.float64(0.0235), 'module': 'breakout_detector', 'category': 'ict', 'is_implemented': True, 'error': False}, 'htf_structure': {'module': 'htf_structure', 'category': 'ict', 'is_implemented': False, 'skipped': True, 'reason': 'Module not yet implemented'}, 'funding_rate': {'funding_rate': 0.0, 'funding_avg': 0.0, 'sentiment': 'NEUTRAL', 'is_extreme': False, 'contrarian_bias': 'NEUTRAL', 'module': 'funding_rate', 'category': 'orderflow', 'is_implemented': True, 'error': False}, 'open_interest': {'oi_current': 0, 'oi_change_pct': 0, 'oi_rising': False, 'oi_falling': False, 'oi_signal': 'NEUTRAL', 'oi_bias': 'NEUTRAL', 'price_change_pct': 0, 'module': 'open_interest', 'category': 'orderflow', 'is_implemented': True, 'error': False}, 'mss_detector': {'mss_structure': 'RANGING', 'bos_detected': False, 'bos_direction': None, 'choch_detected': False, 'choch_direction': None, 'choch_strength': 'NONE', 'last_swing_high': np.float64(0.0265), 'last_swing_low': np.float64(0.0218), 'signal_strength': 0, 'swing_count': 10, 'module': 'mss_detector', 'category': 'ict', 'is_implemented': True, 'error': False}, 'momentum_classifier': {'momentum': 'NEUTRAL', 'momentum_direction': 'NEUTRAL', 'momentum_strength': 0, 'fast_return_pct': np.float64(0.75), 'slow_return_pct': np.float64(-6.9284), 'bull_candle_pct': 40.0, 'volume_momentum': np.float64(0.14), 'upper_wick_pct': np.float64(3.4), 'lower_wick_pct': np.float64(0.0), 'rejection_signal': None, 'module': 'momentum_classifier', 'category': 'context', 'is_implemented': True, 'error': False}, 'candle_pattern': {'patterns_detected': ['BULLISH_MARUBOZU'], 'primary_pattern': 'BULLISH_MARUBOZU', 'pattern_signal': 'BULLISH', 'pattern_strength': 'STRONG', 'body_pct': np.float64(0.966), 'upper_wick_pct': np.float64(0.034), 'lower_wick_pct': np.float64(0.0), 'is_bullish_candle': np.True_, 'is_bearish_candle': np.False_, 'module': 'candle_pattern', 'category': 'context', 'is_implemented': True, 'error': False}, 'fear_greed_index': {'fng_value': 48, 'fng_classification': 'Neutral', 'fng_sentiment': 'NEUTRAL', 'fng_bias': 'NEUTRAL', 'fng_strength': 0, 'fng_prev_value': 47, 'fng_change': 1, 'fng_trending': 'STABLE', 'module': 'fear_greed_index', 'category': 'context', 'is_implemented': True, 'error': False}, 'cvd_analyzer': {'cvd_value': 0, 'cvd_ratio': 0.5, 'buy_volume': 0, 'sell_volume': 0, 'cvd_signal': 'NEUTRAL', 'cvd_bias': 'NEUTRAL', 'cvd_divergence': False, 'price_change_pct': 0, 'module': 'cvd_analyzer', 'category': 'orderflow', 'is_implemented': True, 'error': False}, 'orderbook_imbalance': {'bid_volume': 0, 'ask_volume': 0, 'bid_ask_ratio': 1.0, 'bid_pct': 50, 'ask_pct': 50, 'ob_signal': 'BALANCED', 'ob_bias': 'NEUTRAL', 'best_bid': 0, 'best_ask': 0, 'spread_pct': 0, 'module': 'orderbook_imbalance', 'category': 'orderflow', 'is_implemented': True, 'error': False}, 'spike_classifier': {'spike_detected': False, 'spike_magnitude': np.float64(0.45), 'spike_type': None, 'spike_direction': None, 'volume_confirmed': False, 'spike_classification': 'NORMAL', 'module': 'spike_classifier', 'category': 'context', 'is_implemented': True, 'error': False}, 'heiken_ashi': {'ha_direction': 'BULLISH', 'ha_strength': 'STRONG', 'ha_body_ratio': np.float64(0.599), 'no_lower_shadow': np.True_, 'no_upper_shadow': np.False_, 'consistent': False, 'trend_count': 1, 'ha_open': np.float64(0.023823), 'ha_close': np.float64(0.024042), 'ha_high': np.float64(0.02419), 'ha_low': np.float64(0.023823), 'module': 'heiken_ashi', 'category': 'context', 'is_implemented': True, 'error': False}}"
1000XECUSDT,LONG,LOSS,MAX_HOLD,VALID,0.00926,0.00846,-87.83273467673096,-17.278617710583124,508.3319519415813,2.0,0.008334,0.0115749999999999,48.001930854166666,69.0,2026-05-10 11:53:40.545749,2026-05-12 11:53:47.496824,
