timestamp,symbol,direction,entry_price,sl_price,tp_price,outcome,candles_to_outcome,score,grade,choch_detected,mss_structure,primary_pattern,price_zone,momentum,bb_position,volume_ratio,rsi_value
2026-04-19T18:00:13.571618+00:00,AVAXUSDT,BULLISH,9.145,9.007824999999999,9.41935,LOSS,17,63,WEAK,False,RANGING,INSIDE_BAR,DISCOUNT,STRONG_BEARISH,lower_half,0.01,21.33
2026-04-19T20:30:09.530523+00:00,SOLUSDT,BULLISH,84.99,83.71515,87.5397,LOSS,7,59,WEAK,False,RANGING,,DISCOUNT,BEARISH,lower_half,0.74,32.11
2026-04-19T23:30:19.918945+00:00,ETCUSDT,BULLISH,8.228,8.10458,8.47484,WIN,31,62,WEAK,False,BEARISH,BULLISH_MARUBOZU,DISCOUNT,NEUTRAL,lower_half,0.01,31.37
2026-04-20T00:15:14.937601+00:00,DOTUSDT,BULLISH,1.243,1.224355,1.2802900000000002,WIN,71,59,WEAK,False,BEARISH,BULLISH_MARUBOZU,DISCOUNT,BULLISH,lower_half,0.1,41.95
2026-04-20T00:30:15.619482+00:00,DOTUSDT,BULLISH,1.253,1.2342049999999998,1.29059,WIN,82,60,WEAK,False,BEARISH,BULLISH_MARUBOZU,EQUILIBRIUM,STRONG_BULLISH,upper_half,0.03,60.34
2026-04-20T01:15:20.637850+00:00,ETCUSDT,BEARISH,8.3,8.4245,8.051,LOSS,24,70,VALID,False,BEARISH,INSIDE_BAR,PREMIUM,BEARISH,upper_half,0.0,59.83
2026-04-20T02:45:09.278315+00:00,SOLUSDT,BEARISH,84.14,85.40209999999999,81.6158,LOSS,18,59,WEAK,False,RANGING,INSIDE_BAR,PREMIUM,BEARISH,upper_half,0.0,53.69
2026-04-20T03:30:15.819512+00:00,DOTUSDT,BEARISH,1.258,1.27687,1.22026,LOSS,15,72,VALID,False,RANGING,BEARISH_MARUBOZU,PREMIUM,NEUTRAL,upper_half,0.0,64.14
2026-04-20T04:30:15.367765+00:00,DOTUSDT,BEARISH,1.261,1.2799149999999997,1.2231699999999999,LOSS,11,68,WEAK,False,RANGING,BEARISH_MARUBOZU,PREMIUM,NEUTRAL,upper_half,0.09,64.05
2026-04-20T04:45:09.674314+00:00,SOLUSDT,BEARISH,84.35,85.61524999999999,81.81949999999999,LOSS,10,71,VALID,False,RANGING,BEARISH_MARUBOZU,PREMIUM,BEARISH,upper_half,0.0,55.82
